player_name,driving_dist,driving_acc,gir,scrambling,sg_putt,sg_app,sg_ott,sg_t2g,sg_total,round_score,birdies,pars,bogies,fan_score,play_style
"Ancer, Abraham",288.775,0.82125,0.625,0.52225,0.3605,0.8552500000000001,0.41325,0.36599999999999994,0.7272500000000001,72.25,14,45,12,50,Aggressive
"Berger, Daniel",297.15,0.607,0.5835,0.42200000000000004,-1.327,1.1255000000000002,0.008500000000000008,0.753,-0.5735,74.0,7,20,7,63,Balanced
"Bezuidenhout, Christiaan",282.175,0.71425,0.49975,0.739,0.91925,-0.905,-0.20550000000000002,-0.9425000000000001,-0.022750000000000076,73.0,10,49,12,63,Balanced
"Cantlay, Patrick",302.15,0.75,0.639,0.5355,-2.0335,-2.048,1.0575,-0.5405,-2.5735,76.0,5,21,7,59,Balanced
"Casey, Paul",299.325,0.58925,0.639,0.5535,-0.57175,1.064,-0.35975,1.2985,0.72725,72.25,15,38,18,80,Aggressive
"Champ, Cameron",318.775,0.71425,0.6252500000000001,0.52825,-0.503,-0.12125000000000005,1.4415,1.2297500000000001,0.72725,72.25,19,36,14,89,Aggressive
"Cink, Stewart",302.325,0.58925,0.639,0.63175,0.798,0.7284999999999999,-0.21300000000000002,0.679,1.47725,71.5,14,46,12,67,Aggressive
"Conners, Corey",293.4,0.7855,0.7222500000000001,0.44275,-0.184,2.3075,0.3865,2.161,1.97725,71.0,16,40,12,93,Aggressive
"Couples, Fred",283.0,0.6785,0.472,0.519,-1.0565,-2.611,-0.5835,-4.0175,-5.0735,78.5,1,25,7,84,Balanced
"Day, Jason",293.7,0.75,0.4445,0.5625,-1.1895,-2.7584999999999997,-0.2455,-1.8845,-3.0735,76.5,4,19,13,71,Balanced
"DeChambeau, Bryson",323.575,0.5535,0.611,0.499,-0.23824999999999996,-0.15949999999999998,0.929,-0.03499999999999992,-0.27275000000000005,73.25,13,42,12,87,Aggressive
