player_name,driving_dist,driving_acc,gir,scrambling,sg_putt,sg_app,sg_ott,sg_t2g,sg_total,round_score,birdies,pars,bogies,fan_score,play_style,Group_No
"Ancer, Abraham",288.775,0.82125,0.625,0.52225,0.3605,0.8552500000000001,0.41325,0.3659999999999999,0.7272500000000001,72.25,14,45,12,50,Aggressive,3
"Berger, Daniel",297.15,0.607,0.5835,0.422,-1.327,1.1255000000000002,0.0085,0.753,-0.5735,74.0,7,20,7,63,Balanced,12
"Bezuidenhout, Christiaan",282.175,0.71425,0.49975,0.739,0.91925,-0.905,-0.2055,-0.9425,-0.02275,73.0,10,49,12,63,Balanced,5
"Cantlay, Patrick",302.15,0.75,0.639,0.5355,-2.0335,-2.048,1.0575,-0.5405,-2.5735,76.0,5,21,7,59,Balanced,1
"Casey, Paul",299.325,0.58925,0.639,0.5535,-0.57175,1.064,-0.35975,1.2985,0.72725,72.25,15,38,18,80,Aggressive,6
"Champ, Cameron",318.775,0.71425,0.6252500000000001,0.52825,-0.503,-0.12125,1.4415,1.22975,0.72725,72.25,19,36,14,89,Aggressive,11
"Cink, Stewart",302.325,0.58925,0.639,0.63175,0.798,0.7284999999999999,-0.213,0.679,1.47725,71.5,14,46,12,67,Aggressive,7
"Conners, Corey",293.4,0.7855,0.7222500000000001,0.44275,-0.184,2.3075,0.3865,2.161,1.97725,71.0,16,40,12,93,Aggressive,13
"Couples, Fred",283.0,0.6785,0.472,0.519,-1.0565,-2.611,-0.5835,-4.0175,-5.0735,78.5,1,25,7,84,Balanced,4
"Day, Jason",293.7,0.75,0.4445,0.5625,-1.1895,-2.7585,-0.2455,-1.8845,-3.0735,76.5,4,19,13,71,Balanced,4
"DeChambeau, Bryson",323.575,0.5535,0.611,0.499,-0.2382499999999999,-0.1594999999999999,0.929,-0.0349999999999999,-0.27275,73.25,13,42,12,87,Aggressive,11
"English, Harris",296.875,0.7677499999999999,0.6252500000000001,0.5915,0.7582500000000001,0.0344999999999999,0.1475,0.2184999999999999,0.97725,72.0,12,49,6,86,Balanced,7
"Finau, Tony",305.225,0.55375,0.514,0.671,-0.1842499999999999,0.91275,-0.5960000000000001,1.9115,1.72725,71.25,16,41,13,42,Aggressive,6
"Fitzpatrick, Matthew",297.075,0.875,0.6527499999999999,0.473,-0.384,0.1085,1.115,0.861,0.47725,72.5,11,46,13,64,Balanced,3
"Fleetwood, Tommy",294.425,0.643,0.6945,0.486,-0.54325,0.4905,-0.34475,0.2697499999999999,-0.2727499999999999,73.25,12,43,13,61,Aggressive,6
"Frittelli, Dylan",309.2,0.536,0.5275,0.54,-1.921,0.502,-0.409,0.3475,-1.5735,75.0,5,20,11,65,Balanced,9
